Apple ID Number,Device Identifier,Device Name,Device Serial Number,Associated Date,Latest Device User Agent String
405952270,6C96CFD93F65,kberman-MBP,C02V50V8G8WL,2019-06-27T14:17:04Z,"iBooks/2.2 (Macintosh; OS X 10.14.5; 18F132) AppleWebKit/4607.2.6.1.1 CommerceKit/708.4.2 "
405952270,6C96CFD93F65,kberman-MBP,C02V50V8G8WL,2019-06-25T23:29:54Z,"MacAppStore/3.0 (Macintosh; OS X 10.15.5; 19F101) AppleWebKit/5609.2.9.1.2 CommerceKit/709.6.5 "
405952270,6C96CFD93F65,kberman-MBP,C02V50V8G8WL,2019-06-21T18:07:37Z,AMPLibraryAgent/1.0.5 (Macintosh; OS X 10.15.5) AppleWebKit/609.2.9.1.2 build/14 (dt:1)
405952270,00008020-00160D100268002E,KB’s iPhone,DNPX83B6KPFP,2018-09-29T18:25:36Z,"appstored/1.0 iOS/13.5.1 model/iPhone11,2 hwp/t8020 build/17F80 (6; dt:185)"
405952270,F16D0F30.D426B957.17FBED19.EA3D1D9E.51266410.E2DDBAFA.D1EBEA89,KBERMAN-PC,,2018-04-05T20:58:59Z,iTunes/12.9.5 (Windows; Microsoft Windows 10 x64 Enterprise Edition (Build 17134); x64) AppleWebKit/7607.2006.2001.1 (dt:2)
405952270,4177299590f72859c5d9e11339dd9db45d3c6769,Kevin’s Apple Watch,FHLVT7KDJ6GF,2018-01-02T23:42:35Z,"com.apple.AppleMediaServices/1.0 watchOS/6.1.3 model/Watch3,2 hwp/t8004 build/17S811 (6; dt:154) AMS/1"
405952270,FCDFE92E.C0544FAE.3C73191B.7DC1F12F.8D253DCE.11FD1203.2C1E78CE,KBERMAN-PC2,,2017-07-26T13:10:54Z,iTunes/12.10.4 (Windows; Microsoft Windows 10 x64 (Build 17763); x64) AppleWebKit/7608.5011.0.9 (dt:2)
405952270,EFE5E5A1.8EFCDE48.817804FA.5F408FA6.28597087.FABE8BAF.662208C0,ATAS-AIRBORDAQ,,2017-06-20T14:17:56Z,iTunes/12.6.1 (Windows; Microsoft Windows 7 x64 Enterprise Edition Service Pack 1 (Build 7601); x64) AppleWebKit/7603.1030.4006.6
405952270,A860B60BC54A,ELLY’s iMac,,2017-04-09T22:10:46Z,iTunes/12.6 (Macintosh; OS X 10.11.6) AppleWebKit/601.7.8
405952270,406C8FBC88EC,beamformer-mac,,2017-03-08T16:29:09Z,iTunes/12.3.3 (Macintosh; OS X 10.8.5) AppleWebKit/536.30.1
405952270,E4ACCACA.7F9A4220.598CD6BA.0306924D.35634CFB.AB7F7EB4.2678A58F,DESKTOP-IQQ2E85,,2017-01-04T02:59:39Z,iTunes/12.9.6 (Windows; Microsoft Windows 10 x64 Enterprise Edition (Build 17763); x64) AppleWebKit/7607.3009.0.19 (dt:2)
405952270,E4ACCACA.8B44DE97.88D367CB.0306924D.039DE2D4.AB7F7EB4.E898BC83,DESKTOP-BCQR7LV,,2016-10-10T22:26:58Z,iTunes/12.5.4 (Windows; Microsoft Windows 10.0 x64 (Build 14393); x64) AppleWebKit/7602.3012.0.11
405952270,F16D0F30.8EFCDE48.817804FA.EA3D1D9E.97D4ED56.E2DDBAFA.662208C0,KBERMAN-PC,,2016-08-27T19:37:11Z,iTunes/12.7.3 (Windows; Microsoft Windows 7 x64 Enterprise Edition Service Pack 1 (Build 7601); x64) AppleWebKit/7604.5002.1000.1 (dt:2)
405952270,d798ce08255eac76bd946dc3f0321b33036efcdc,iPhone (2),F4GR4ZP9GRY9,2016-03-23T01:29:49Z,"itunesstored/1.0 iOS/11.4 model/iPhone8,1 hwp/s8003 build/15F79 (6; dt:141)"
405952270,C8639B1B.693EF73D.BA61CA50.8897ACE8.4AA4359F.62204EE0.662208C0,KBERMAN-YD5DL,,2015-08-07T15:07:26Z,iTunes/12.2.1 (Windows; Microsoft Windows 7 x64 Enterprise Edition Service Pack 1 (Build 7601); x64) AppleWebKit/7600.5017.0.22
405952270,a10ac19044e8c97f10b63016e693ec62e5c37ade,Kevin's iPhone,DNQLHC07FNJK,2013-10-15T00:37:02Z,"itunescloudd/1.0 iOS/9.2.1 model/iPhone6,1 hwp/s5l8960x build/13D15 (6; dt:89)"
405952270,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.EAE7D8C0,KEVIN-PC,,2012-12-15T03:55:53Z,iTunes/12.1 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200); x64) AppleWebKit/7600.1017.5000.21
405952270,0026B0DFEBEA,Kevin Berman's MacBook Pro,,2011-11-16T05:38:55Z,iTunes/11.0.2 (Macintosh; OS X 10.6.8) AppleWebKit/534.59.8
