Apple ID Number,Device Identifier,Device Name,Associated Date,Enabled?,Latest Device User Agent String
405952270,CFBC09E2.D426B957.17FBED19.EA3D1D9E.51266410.E2DDBAFA.D1EBEA89,KBERMAN-PC,2020-01-29T19:45:58Z,Yes,iTunes/12.9.5 (Windows; Microsoft Windows 10 x64 Enterprise Edition (Build 17134); x64) AppleWebKit/7607.2006.2001.1 (dt:2)
405952270,4177299590f72859c5d9e11339dd9db45d3c6769,Kevin’s Apple Watch,2019-10-07T04:13:30Z,Yes,"itunescloudd/1.0 watchOS/6.0.1 model/Watch3,2 hwp/t8004 build/17R604 (6; dt:154)"
405952270,6C96CFD93F65,kberman-MBP,2019-06-22T17:41:19Z,Yes,iTunes/12.9.5 (Macintosh; OS X 10.14.5) AppleWebKit/607.2.6.1.1 (dt:1)
405952270,00008020-00160D100268002E,iPhone (2),2018-09-29T18:34:10Z,Yes,"itunesstored/1.0 iOS/12.0 model/iPhone11,2 hwp/t8020 build/16A366 (6; dt:185)"
405952270,1A112876.C0544FAE.3C73191B.7DC1F12F.8D253DCE.11FD1203.03099F90,,2017-07-26T13:10:55Z,No,iTunes/12.6.2 (Windows; Microsoft Windows 10.0 x64 (Build 15063); x64) AppleWebKit/7603.3008.0.3
405952270,EFE5E5A1.8EFCDE48.817804FA.5F408FA6.28597087.FABE8BAF.662208C0,,2017-06-20T14:17:57Z,No,iTunes/12.6.1 (Windows; Microsoft Windows 7 x64 Enterprise Edition Service Pack 1 (Build 7601); x64) AppleWebKit/7603.1030.4006.6
405952270,A860B60BC54A,,2017-04-09T22:10:50Z,No,iTunes/12.6 (Macintosh; OS X 10.11.6) AppleWebKit/601.7.8
405952270,406C8FBC88EC,,2017-03-08T16:29:10Z,No,iTunes/12.3.3 (Macintosh; OS X 10.8.5) AppleWebKit/536.30.1
405952270,E4ACCACA.7F9A4220.469A6FD9.0306924D.3E4FF7DD.AB7F7EB4.890BB48A,DESKTOP-IQQ2E85,2017-01-04T03:01:18Z,No,iTunes/12.5.4 (Windows; Microsoft Windows 10.0 x64 Enterprise Edition (Build 10240); x64) AppleWebKit/7602.3012.0.11
405952270,E4ACCACA.8B44DE97.88D367CB.0306924D.039DE2D4.AB7F7EB4.E898BC83,,2016-11-10T01:34:11Z,No,iTunes/12.5.1 (Windows; Microsoft Windows 10.0 x64 (Build 14393); x64) AppleWebKit/7602.1050.4.4
405952270,8EB20358.8EFCDE48.817804FA.EA3D1D9E.97D4ED56.E2DDBAFA.662208C0,KBERMAN-PC,2016-11-09T17:23:55Z,No,iTunes/12.5.3 (Windows; Microsoft Windows 7 x64 Enterprise Edition Service Pack 1 (Build 7601); x64) AppleWebKit/7602.2015.0.18
405952270,d798ce08255eac76bd946dc3f0321b33036efcdc,iPhone,2016-03-23T01:29:50Z,Yes,"itunesstored/1.0 iOS/9.2 model/iPhone8,1 hwp/s8003 build/13C75 (6; dt:141)"
405952270,a10ac19044e8c97f10b63016e693ec62e5c37ade,iPhone,2013-10-15T00:37:02Z,Yes,"itunesstored/1.0 iOS/7.0.2 model/iPhone6,1 (6; dt:89)"
405952270,0026B0DFEBEA,Kevin Berman’s MacBook Pro,2012-05-13T03:11:49Z,No,iTunes/10.6.1 (Macintosh; Intel Mac OS X 10.6.8) AppleWebKit/534.55.3
